method,seq_len,sample_id,ppl
RoPE,2048,88,12.06040495034188
RoPE,2048,89,16.43585810600748
RoPE,2048,90,9.409505841238463
RoPE,2048,91,11.538774310910288
RoPE,2048,92,11.33030433933638
RoPE,2048,93,10.919585419832659
RoPE,2048,94,14.558846480535228
RoPE,2048,95,11.331420053906287
RoPE,2048,96,11.3744871821822
RoPE,2048,97,12.967999439491443
RoPE,2048,98,11.207736294969283
RoPE,2048,99,9.946582766116475
RoPE,4096,0,11.601846257830294
RoPE,4096,1,7.64935247365991
RoPE,4096,2,10.34421524754089
RoPE,4096,3,10.874319904213262
RoPE,4096,4,10.677824019597667
RoPE,4096,5,11.618014278015634
RoPE,4096,6,10.18824843094292
RoPE,4096,7,13.013603278120037
RoPE,4096,8,11.440847390987399
RoPE,4096,9,10.093065869001878
RoPE,4096,10,11.864214875555922
RoPE,4096,11,11.248176987299951
RoPE,4096,12,13.446965299513879
RoPE,4096,13,11.285332522648027
RoPE,4096,14,14.989593812611423
RoPE,4096,15,12.46929442734835
RoPE,4096,16,7.005980290353139
RoPE,4096,17,10.15082709269248
RoPE,4096,18,11.066407996606475
RoPE,4096,19,15.609563896480608
RoPE,4096,20,11.425762194600948
RoPE,4096,21,8.900486752796194
RoPE,4096,22,13.052341993822573
RoPE,4096,23,10.945922206844147
RoPE,4096,24,11.119337216396795
RoPE,4096,25,13.16855440044305
RoPE,4096,26,9.084961415542503
RoPE,4096,27,10.150326134879545
RoPE,4096,28,12.373281222904893
RoPE,4096,29,12.469776048305791
RoPE,4096,30,11.250746420575537
RoPE,4096,31,7.492501078739426
RoPE,4096,32,11.065397521268082
RoPE,4096,33,10.517047809230863
RoPE,4096,34,13.146360256068922
RoPE,4096,35,10.944614819606931
RoPE,4096,36,11.235210042797204
RoPE,4096,37,11.991014315566577
RoPE,4096,38,8.406052872092788
RoPE,4096,39,10.621879661245936
RoPE,4096,40,11.37160752056906
RoPE,4096,41,10.478401306300851
RoPE,4096,42,12.614714484517426
RoPE,4096,43,7.056778690898134
RoPE,4096,44,12.261452868247051
RoPE,4096,45,11.032598045985006
RoPE,4096,46,10.47770681705351
RoPE,4096,47,11.735901915820198
RoPE,4096,48,11.926517657798517
RoPE,4096,49,11.855395598071738
RoPE,4096,50,10.265360482276114
RoPE,4096,51,16.33707790257497
RoPE,4096,52,10.306100642845946
RoPE,4096,53,14.288514241504068
RoPE,4096,54,11.000588175983669
RoPE,4096,55,12.664841941952934
RoPE,4096,56,12.086225108952094
RoPE,4096,57,10.974378888194016
RoPE,4096,58,9.618383031770986
RoPE,4096,59,11.078976728552908
RoPE,4096,60,6.968186399665598
RoPE,4096,61,9.80736842846918
RoPE,4096,62,11.998435406174474
RoPE,4096,63,14.973184774178993
RoPE,4096,64,11.757606904485153
RoPE,4096,65,11.62350007465361
RoPE,4096,66,9.885363239515161
RoPE,4096,67,13.046278269069061
RoPE,4096,68,10.29367733445524
RoPE,4096,69,9.834715009004057
RoPE,4096,70,14.721168183046878
RoPE,4096,71,10.883122885208186
RoPE,4096,72,11.024226105762434
RoPE,4096,73,12.226743360046225
RoPE,4096,74,12.57709770650414
RoPE,4096,75,11.290359744382283
RoPE,4096,76,12.476244057362118
RoPE,4096,77,7.973940515614246
RoPE,4096,78,11.05826877381368
RoPE,4096,79,9.504004878301188
RoPE,4096,80,7.517734603083838
RoPE,4096,81,13.830856902192208
RoPE,4096,82,9.008873184105143
RoPE,4096,83,12.564665605049825
RoPE,4096,84,9.541809892583222
RoPE,4096,85,13.192651088163633
RoPE,4096,86,11.337943644287055
RoPE,4096,87,9.00455697408257
RoPE,4096,88,11.768917775934353
RoPE,4096,89,10.952586827701278
RoPE,4096,90,10.352692765140292
RoPE,4096,91,10.949080412947735
RoPE,4096,92,11.291643821035894
RoPE,4096,93,11.268614562136754
RoPE,4096,94,14.816460999835135
RoPE,4096,95,11.083890885119274
RoPE,4096,96,9.86906725476872
RoPE,4096,97,10.427990943045698
RoPE,4096,98,10.975401985746732
RoPE,4096,99,9.933553074992064
ALiBi_trained,512,0,7.741052325373415
ALiBi_trained,512,1,7.976486542517572
ALiBi_trained,512,2,8.379461747893675
ALiBi_trained,512,3,10.12623195430714
ALiBi_trained,512,4,8.985228156835133
ALiBi_trained,512,5,10.891340929150997
ALiBi_trained,512,6,9.2862223825432
ALiBi_trained,512,7,9.295193445233858
ALiBi_trained,512,8,10.72273176000485
ALiBi_trained,512,9,11.647943297193603
ALiBi_trained,512,10,9.086055323309088
ALiBi_trained,512,11,9.836131357364208
ALiBi_trained,512,12,7.172374549667434
ALiBi_trained,512,13,13.217034508729697
ALiBi_trained,512,14,8.300186074126582
ALiBi_trained,512,15,17.324878396274354
ALiBi_trained,512,16,10.031872733392458
ALiBi_trained,512,17,8.981884734076674
ALiBi_trained,512,18,12.218545981370303
ALiBi_trained,512,19,14.394487512447327
ALiBi_trained,512,20,9.725392213382646
ALiBi_trained,512,21,7.094687711870563
ALiBi_trained,512,22,15.393060015315607
ALiBi_trained,512,23,9.178745811901665
ALiBi_trained,512,24,9.420246640648054
ALiBi_trained,512,25,14.027742659075795
ALiBi_trained,512,26,8.096793311129927
ALiBi_trained,512,27,10.581437592114103
ALiBi_trained,512,28,12.58780131242838
ALiBi_trained,512,29,13.339091803106589
ALiBi_trained,512,30,13.184984896738245
ALiBi_trained,512,31,14.848337371886892
ALiBi_trained,512,32,11.495507210211303
ALiBi_trained,512,33,7.897870531528876
ALiBi_trained,512,34,18.457566869322708
ALiBi_trained,512,35,11.518066442390376
ALiBi_trained,512,36,7.404801203258276
ALiBi_trained,512,37,12.39099400982473
ALiBi_trained,512,38,7.70849244206904
ALiBi_trained,512,39,9.897435341748011
ALiBi_trained,512,40,10.451076211655973
ALiBi_trained,512,41,11.679453002584042
ALiBi_trained,512,42,11.877735030800144
ALiBi_trained,512,43,9.358196088336172
ALiBi_trained,512,44,10.659044972693218
ALiBi_trained,512,45,11.715002272721167
ALiBi_trained,512,46,10.48295159915531
ALiBi_trained,512,47,10.334667857964824
ALiBi_trained,512,48,11.36379922814823
ALiBi_trained,512,49,10.122244346063225
ALiBi_trained,512,50,12.399664791670492
ALiBi_trained,512,51,13.887965749577324
ALiBi_trained,512,52,8.96348928430311
ALiBi_trained,512,53,14.4636414170438
ALiBi_trained,512,54,11.728419499469554
ALiBi_trained,512,55,15.794554848271936
ALiBi_trained,512,56,9.685922216225235
ALiBi_trained,512,57,13.471690281647481
ALiBi_trained,512,58,9.543131727035764
ALiBi_trained,512,59,8.180281244423083
ALiBi_trained,512,60,8.243848352700685
ALiBi_trained,512,61,9.215496496984429
ALiBi_trained,512,62,9.15098010285319
ALiBi_trained,512,63,18.40397477809895
ALiBi_trained,512,64,12.811345118234858
ALiBi_trained,512,65,13.017888791309247
ALiBi_trained,512,66,9.886529951217277
ALiBi_trained,512,67,8.386397049520447
ALiBi_trained,512,68,10.25492251211643
